fund_id,fund_name,fund_manager,open_date,strategy,region,vintage_year,target_size,currency,sector
34866,Ascent Venture Partners VII,Ascent Venture Partners,2020-0, Growth Equity,North America,2020,150000000.0,USD,TMT
34866,Ascent Venture Partners VII,Ascent Venture Partners,2020-0,Venture Capital ,North America,2020,150000000.0,USD,TMT
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,2016-7, Growth Equity,North America,2019,,,TMT 
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,2016-7, Growth Equity,North America,2019,,, Agribusiness
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,2016-7,Venture Capital ,North America,2019,,,TMT 
36284,Fall Line Endurance Fund (Open-Ended),Fall Line Capital,2016-7,Venture Capital ,North America,2019,,, Agribusiness
39769,Star Mountain U.S. LMM Secondary Fund II,Star Mountain Capital,2020-12,Secondaries,North America,2020,500000000.0,USD,Diversified
42607,Lumerity Capital Partners II,Lumerity Capital,2019-8, Corporate Private Equity,North America,2019,50000000.0,USD,TMT
42607,Lumerity Capital Partners II,Lumerity Capital,2019-8,Buyout ,North America,2019,50000000.0,USD,TMT
43372,Waterfall Sentinel Fund I,Waterfall Asset Management,2019-1, Corporate Private Equity,North America,2019,300000000.0,USD,Diversified
43372,Waterfall Sentinel Fund I,Waterfall Asset Management,2019-1,Buyout ,North America,2019,300000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8, Debt, Central,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8, Debt, Western Europe ,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8, Debt,Eastern Europe,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8, Debt,North America ,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8,Mezzanine , Central,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8,Mezzanine , Western Europe ,2019,200000000.0,USD,Diversified
43446,Volunteer Park Capital,Goodhart Partners,2019-8,Mezzanine ,Eastern Europe,2019,200000000.0,USD,Diversified
